Age,Sex,Race,Metropolitan status,Labor force status
24,1,1,1,1
79,2,1,2,3
52,1,1,1,2
35,2,4,1,1
57,2,1,1,1
51,1,1,1,3
54,1,1,1,1
71,2,1,1,3
63,2,1,1,1
69,1,1,1,3
72,1,1,1,3
50,1,1,1,1
56,2,1,1,1
55,2,1,1,1
47,2,2,1,1
43,1,1,1,1
80,1,1,1,3
27,1,1,1,3
56,1,1,2,1
40,1,4,1,1
75,2,1,1,3
17,2,1,1,1
38,2,1,1,1
39,1,4,1,1
49,1,2,1,3
68,1,1,1,3
59,1,2,1,1
48,1,1,2,3
66,2,1,2,3
40,1,1,1,1
68,2,1,1,3
70,2,1,1,1
74,1,1,1,3
16,2,1,1,3
67,1,1,1,1
39,2,1,1,1
37,1,1,1,1
48,1,1,1,3
64,2,1,1,1
29,1,1,1,1
54,1,1,1,3
59,1,2,1,2
25,1,6,1,3
33,2,1,1,1
36,2,1,1,1
28,1,2,1,3
27,2,1,2,1
54,2,2,1,3
55,1,1,1,1
79,1,1,1,3
62,2,1,1,1
37,1,1,1,1
26,1,1,1,1
60,1,1,1,1
85,1,1,1,3
37,1,1,1,1
27,2,1,1,1
28,2,1,3,1
26,1,1,1,3
71,2,2,1,3
85,1,1,2,3
32,2,4,1,3
30,1,4,1,1
53,1,2,1,3
51,2,1,1,1
29,1,1,1,3
28,1,1,1,1
64,1,1,1,3
72,2,1,1,1
37,2,1,1,2
49,1,4,1,1
60,2,1,1,1
29,1,4,1,1
60,2,1,1,1
16,1,1,1,3
28,2,1,2,1
76,1,1,1,3
85,2,1,2,3
32,2,1,1,1
51,2,1,2,1
85,2,1,2,3
60,1,1,1,3
37,1,1,1,1
68,2,1,1,3
43,2,1,1,1
85,1,1,1,3
75,1,2,1,3
68,1,1,2,3
28,1,1,1,1
63,1,1,1,1
62,2,1,1,1
61,1,2,1,1
69,2,1,1,3
52,1,2,1,1
48,1,1,1,2
51,1,1,1,1
65,1,1,1,1
75,1,2,1,3
68,1,4,1,3
55,2,1,1,1
65,2,2,1,3
23,1,1,2,1
66,1,1,1,3
59,1,1,1,1
76,2,1,1,3
39,2,4,1,1
36,2,1,1,1
30,2,1,2,1
28,1,1,1,1
46,2,1,1,1
59,1,1,1,1
65,1,1,2,3
64,2,1,1,3
50,2,1,1,2
60,2,2,1,1
40,1,2,1,1
48,2,1,1,1
29,2,2,1,1
43,1,2,1,1
51,2,1,1,3
35,1,2,1,1
65,1,1,1,3
46,1,4,1,1
51,2,1,1,1
17,2,1,2,1
80,2,1,2,3
71,2,1,2,3
31,2,1,1,1
60,1,2,1,1
75,1,2,1,3
68,2,1,2,3
71,1,2,1,3
35,1,1,1,1
51,1,2,1,1
35,2,1,1,1
61,1,1,1,3
48,2,1,1,1
56,1,1,1,1
17,2,1,1,3
59,1,1,1,3
34,2,1,1,1
52,2,1,1,1
43,2,1,1,1
32,2,1,1,1
32,2,1,1,1
65,1,1,1,3
64,2,1,2,3
55,2,1,1,1
65,1,2,1,3
52,1,1,1,1
80,1,1,2,3
32,2,1,2,1
75,2,1,1,3
19,1,1,1,3
30,2,1,1,1
42,1,1,1,3
45,1,2,1,1
42,1,1,1,3
53,2,1,2,1
15,1,1,1,3
25,1,1,1,1
60,1,1,1,3
34,1,1,3,3
16,1,1,1,3
80,1,1,1,3
54,2,1,1,1
37,1,1,1,1
34,1,1,1,3
85,1,2,1,3
35,2,1,1,1
45,1,2,1,1
80,1,2,1,3
39,2,1,1,1
69,2,1,1,1
68,1,1,2,3
85,1,1,2,3
44,1,4,1,1
34,1,1,1,1
35,2,1,1,1
75,1,2,1,3
34,2,2,1,3
15,1,1,1,3
41,2,1,1,1
34,1,1,1,1
59,2,2,1,3
74,2,4,1,1
61,2,1,1,3
69,2,1,2,3
41,1,1,1,1
56,1,2,1,1
34,1,1,1,1
72,2,1,1,3
35,2,1,1,1
57,2,1,1,1
37,2,1,1,1
62,1,1,1,1
78,1,2,1,3
67,2,1,1,1
85,1,1,1,3
51,1,1,1,1
19,2,2,1,2
78,1,2,1,3
16,1,1,1,3
50,2,1,1,2
38,2,1,1,3
68,1,1,1,3
19,1,1,1,1
59,2,1,1,1
18,2,1,1,3
51,2,1,1,1
40,1,1,1,1
32,1,1,1,1
37,1,1,1,1
64,1,2,1,3
15,1,1,1,3
46,1,1,1,1
20,2,1,2,1
48,1,1,2,1
23,1,1,1,1
49,1,1,1,3
56,1,1,1,1
34,1,4,1,3
28,1,1,2,1
78,2,1,1,3
27,2,1,1,1
43,1,1,1,1
36,2,1,1,1
74,2,2,1,3
23,1,1,1,1
64,2,1,1,1
44,1,2,1,1
57,1,1,2,1
49,2,1,1,1
60,1,2,2,3
53,1,2,1,3
40,2,1,1,1
50,1,1,2,3
32,1,1,1,3
28,1,1,1,1
37,2,1,1,1
80,1,2,1,3
37,1,1,1,2
63,2,1,1,1
66,2,2,1,1
19,1,2,1,1
31,2,1,1,1
58,1,2,1,3
66,1,1,1,3
71,2,1,1,1
58,1,7,1,3
35,2,1,1,1
78,2,1,2,3
69,1,1,1,3
28,2,1,2,1
17,2,1,3,3
60,1,1,1,1
56,1,2,1,1
74,2,1,1,3
71,1,2,1,3
80,1,1,1,3
37,1,2,1,1
30,2,1,1,1
34,1,1,1,1
28,1,1,1,1
15,1,1,1,1
60,1,1,2,1
56,1,1,1,1
71,1,2,2,3
85,1,1,1,3
61,2,1,2,1
42,2,1,1,1
56,1,1,1,1
74,2,2,1,3
79,2,2,2,3
45,1,1,1,3
47,2,1,1,1
80,2,1,1,1
56,1,1,1,1
59,1,1,1,1
64,1,1,1,1
66,2,1,1,1
42,2,1,2,1
85,2,1,2,3
70,2,1,1,3
71,2,1,2,3
33,2,1,1,1
40,2,1,1,1
68,2,1,2,3
64,1,1,1,1
39,2,1,1,1
45,1,1,1,1
17,2,1,1,3
54,1,1,3,1
65,1,2,1,3
26,2,1,1,1
73,1,1,1,3
85,1,1,1,3
15,1,1,1,3
29,1,1,1,1
64,2,2,1,3
35,2,2,1,1
80,2,2,1,3
80,2,1,2,3
49,2,1,1,1
42,1,1,1,1
38,1,1,1,1
57,1,1,1,3
71,2,1,1,3
67,1,2,1,3
42,1,1,1,1
28,2,1,1,1
65,2,2,1,3
74,2,1,1,3
38,2,1,2,1
54,1,1,1,1
85,1,1,1,3
39,1,2,1,1
40,2,1,1,1
34,2,4,1,1
75,1,1,1,3
80,1,1,1,1
85,2,1,1,3
30,2,1,1,1
57,1,1,1,1
80,2,1,1,3
60,2,1,1,1
26,1,1,1,3
80,1,1,2,3
40,1,1,1,1
63,2,1,1,2
56,1,1,1,1
40,1,1,1,1
36,2,1,1,1
58,1,4,1,1
38,1,1,1,1
46,1,1,1,1
53,2,1,1,3
80,2,1,1,3
85,1,1,1,3
20,2,1,1,1
60,2,1,1,1
52,1,2,1,1
80,1,1,2,3
38,2,1,1,1
66,2,1,1,3
36,1,1,1,1
27,2,1,1,1
25,1,1,1,1
19,1,1,1,3
56,2,1,2,1
44,2,4,1,1
31,1,1,1,1
54,2,1,1,1
55,1,1,1,1
85,1,1,2,3
31,1,4,1,1
31,1,4,1,3
47,1,1,1,3
49,2,1,1,1
25,1,4,1,3
35,2,1,1,1
52,2,2,1,1
29,2,7,1,1
52,1,1,1,1
70,1,1,1,3
35,1,1,1,1
39,2,1,1,1
31,1,1,1,1
53,1,1,1,3
43,1,8,1,1
52,1,2,1,3
68,1,1,1,3
68,2,1,1,1
80,1,1,2,3
32,1,2,1,1
62,1,1,1,3
48,2,2,1,1
56,2,1,1,1
39,1,1,1,3
26,2,1,2,1
57,1,2,1,1
68,2,1,1,3
51,2,1,1,1
51,1,1,1,1
23,1,1,1,3
45,2,4,1,1
80,2,1,1,1
64,2,2,1,1
28,1,1,1,3
67,1,1,1,3
24,1,2,1,1
58,1,1,2,1
28,1,2,1,1
48,2,1,1,3
80,2,1,1,3
57,2,1,1,1
67,1,1,2,1
53,1,1,1,1
62,1,1,1,2
78,1,1,1,3
58,1,1,1,1
38,1,1,1,1
31,2,1,1,1
74,1,1,1,1
68,1,1,1,3
33,2,1,1,1
59,1,1,1,1
28,1,2,1,2
34,2,1,1,1
16,2,1,1,3
33,2,1,1,1
18,2,4,1,2
28,1,2,1,1
73,2,1,1,3
54,2,4,1,1
71,1,1,1,3
60,2,1,1,1
20,2,1,1,1
29,1,1,1,1
32,2,1,1,1
39,1,1,2,3
38,2,1,1,1
80,1,1,1,3
30,1,1,1,1
32,1,1,1,1
40,1,1,1,3
52,1,1,2,3
41,1,1,2,1
54,1,2,1,3
27,2,2,1,1
54,2,2,1,1
41,1,1,1,1
70,1,1,1,1
45,1,1,2,1
24,1,4,1,1
85,1,1,2,3
43,2,1,2,1
25,1,1,1,1
65,2,1,1,3
59,1,2,1,3
63,2,1,1,3
41,2,1,1,1
74,1,1,1,3
76,1,1,2,3
36,1,1,1,1
28,2,1,1,1
56,2,1,1,1
36,1,1,1,1
36,1,4,1,1
